gid	species	contig_ct	vps-I_VIG_ct	vps-II_VIG_ct	rbm_genes
GCA_000454165	Vibrio parahaemolyticus	21	2	4	
GCA_000454185	Vibrio parahaemolyticus	52	0	4	
GCA_000454205	Vibrio parahaemolyticus	13	0	4	
GCA_000454225	Vibrio parahaemolyticus	5	0	4	
GCA_000454245	Vibrio parahaemolyticus	6	0	4	
GCA_000454265	Vibrio parahaemolyticus	13	0	4	
GCA_000454455	Vibrio parahaemolyticus	7	0	4	
GCA_000454475	Vibrio parahaemolyticus	29	0	4	
GCA_000464435	Vibrio campbellii	3	0	4	
GCA_000467125	Vibrio proteolyticus	50	0	4	
GCA_000467145	Vibrio alginolyticus	76	0	4	
GCA_000473545	Vibrio cyclitrophicus	5	3	1	
GCA_000477475	Vibrio parahaemolyticus	4	0	4	
GCA_000489015	Vibrio parahaemolyticus	421	0	4	
GCA_000489035	Vibrio parahaemolyticus	407	3	4	
GCA_000489055	Vibrio parahaemolyticus	363	0	4	
GCA_000489075	Vibrio parahaemolyticus	342	0	4	
GCA_000489095	Vibrio parahaemolyticus	377	0	0	
GCA_000489115	Vibrio parahaemolyticus	349	3	4	
GCA_000489135	Vibrio parahaemolyticus	484	0	4	
GCA_000489155	Vibrio parahaemolyticus	522	0	4	
GCA_000489175	Vibrio parahaemolyticus	608	0	4	
GCA_000489195	Vibrio parahaemolyticus	541	0	4	
GCA_000489215	Vibrio parahaemolyticus	510	0	4	
GCA_000489235	Vibrio parahaemolyticus	513	0	4	
GCA_000489255	Vibrio parahaemolyticus	480	0	4	
GCA_000489275	Vibrio parahaemolyticus	541	0	4	
GCA_000489295	Vibrio parahaemolyticus	499	0	4	
GCA_000489315	Vibrio parahaemolyticus	497	0	4	
GCA_000489335	Vibrio parahaemolyticus	606	0	4	
GCA_000489355	Vibrio parahaemolyticus	584	0	4	
GCA_000489375	Vibrio parahaemolyticus	577	0	4	
GCA_000489395	Vibrio parahaemolyticus	687	0	3	rbmD
GCA_000489415	Vibrio parahaemolyticus	592	0	4	
GCA_000489435	Vibrio parahaemolyticus	588	0	4	
GCA_000489455	Vibrio parahaemolyticus	588	0	4	
GCA_000489475	Vibrio parahaemolyticus	592	0	4	
GCA_000489495	Vibrio parahaemolyticus	641	0	4	rbmD
GCA_000489515	Vibrio parahaemolyticus	655	0	4	
GCA_000489535	Vibrio parahaemolyticus	527	3	4	
GCA_000489555	Vibrio parahaemolyticus	455	0	4	
GCA_000489575	Vibrio parahaemolyticus	474	0	4	
GCA_000489595	Vibrio parahaemolyticus	461	0	4	
GCA_000489615	Vibrio parahaemolyticus	594	0	4	
GCA_000489635	Vibrio parahaemolyticus	505	0	4	
GCA_000489655	Vibrio parahaemolyticus	549	0	4	
GCA_000489675	Vibrio parahaemolyticus	579	0	4	
GCA_000489695	Vibrio parahaemolyticus	500	0	4	
GCA_000489715	Vibrio parahaemolyticus	708	0	4	rbmD
GCA_000489735	Vibrio parahaemolyticus	490	0	4	
GCA_000489755	Vibrio parahaemolyticus	434	0	4	
GCA_000489775	Vibrio parahaemolyticus	459	0	4	
GCA_000489795	Vibrio parahaemolyticus	513	0	4	
GCA_000489815	Vibrio parahaemolyticus	421	0	4	
GCA_000489835	Vibrio parahaemolyticus	434	0	4	
GCA_000489855	Vibrio parahaemolyticus	445	0	4	
GCA_000489875	Vibrio parahaemolyticus	659	0	4	
GCA_000489895	Vibrio parahaemolyticus	384	0	4	
GCA_000489915	Vibrio parahaemolyticus	427	0	4	
GCA_000489935	Vibrio parahaemolyticus	397	0	4	
GCA_000489955	Vibrio parahaemolyticus	697	0	4	
GCA_000489975	Vibrio parahaemolyticus	748	0	4	
GCA_000489995	Vibrio parahaemolyticus	738	0	4	
GCA_000490015	Vibrio parahaemolyticus	722	0	4	
GCA_000490035	Vibrio parahaemolyticus	782	3	4	
GCA_000490055	Vibrio parahaemolyticus	718	0	4	
GCA_000490075	Vibrio parahaemolyticus	722	0	4	
GCA_000490095	Vibrio parahaemolyticus	773	0	4	
GCA_000490115	Vibrio parahaemolyticus	777	0	4	
GCA_000490135	Vibrio parahaemolyticus	854	0	4	
GCA_000490155	Vibrio parahaemolyticus	698	0	4	
GCA_000490175	Vibrio parahaemolyticus	829	0	0	rbmD
GCA_000490195	Vibrio parahaemolyticus	683	0	4	
GCA_000490215	Vibrio parahaemolyticus	667	0	4	
GCA_000490235	Vibrio parahaemolyticus	667	0	4	
GCA_000490255	Vibrio parahaemolyticus	395	2	4	
GCA_000490275	Vibrio parahaemolyticus	674	0	4	
GCA_000490295	Vibrio parahaemolyticus	609	0	4	
GCA_000490315	Vibrio parahaemolyticus	791	0	4	
GCA_000490335	Vibrio parahaemolyticus	719	0	4	
GCA_000490355	Vibrio parahaemolyticus	595	0	4	
GCA_000490375	Vibrio parahaemolyticus	508	0	4	
GCA_000490395	Vibrio parahaemolyticus	659	0	4	
GCA_000490415	Vibrio parahaemolyticus	531	0	4	
GCA_000490445	Vibrio parahaemolyticus	452	0	4	
GCA_000490465	Vibrio parahaemolyticus	504	0	4	
GCA_000490485	Vibrio parahaemolyticus	481	0	4	
GCA_000490515	Vibrio parahaemolyticus	753	0	4	
GCA_000490535	Vibrio parahaemolyticus	734	0	4	
GCA_000490555	Vibrio parahaemolyticus	405	0	4	
GCA_000490575	Vibrio parahaemolyticus	449	0	0	
GCA_000490595	Vibrio parahaemolyticus	469	0	4	
GCA_000490615	Vibrio parahaemolyticus	442	0	4	
GCA_000490635	Vibrio parahaemolyticus	555	0	4	
GCA_000490655	Vibrio parahaemolyticus	493	0	4	
GCA_000490675	Vibrio parahaemolyticus	664	0	4	
GCA_000490695	Vibrio parahaemolyticus	467	0	4	
GCA_000490715	Vibrio parahaemolyticus	554	0	4	
GCA_000490735	Vibrio parahaemolyticus	449	0	4	
GCA_000490755	Vibrio parahaemolyticus	721	0	4	
GCA_000490775	Vibrio parahaemolyticus	689	0	4	
GCA_000490795	Vibrio parahaemolyticus	530	0	4	
GCA_000490815	Vibrio parahaemolyticus	433	0	4	
GCA_000490835	Vibrio parahaemolyticus	424	0	4	
GCA_000490855	Vibrio parahaemolyticus	630	0	4	
GCA_000490875	Vibrio parahaemolyticus	414	0	4	
GCA_000490895	Vibrio parahaemolyticus	529	0	4	
GCA_000490915	Vibrio parahaemolyticus	513	0	4	
GCA_000490935	Vibrio parahaemolyticus	626	0	4	
GCA_000490955	Vibrio parahaemolyticus	509	0	4	
GCA_000490975	Vibrio parahaemolyticus	677	0	4	
GCA_000490995	Vibrio parahaemolyticus	525	0	4	
GCA_000491015	Vibrio parahaemolyticus	454	0	4	
GCA_000491035	Vibrio parahaemolyticus	734	0	4	
GCA_000491055	Vibrio parahaemolyticus	499	0	4	
GCA_000491075	Vibrio parahaemolyticus	606	0	4	
GCA_000491095	Vibrio parahaemolyticus	865	0	4	
GCA_000491115	Vibrio parahaemolyticus	448	0	4	
GCA_000491135	Vibrio parahaemolyticus	684	0	4	
GCA_000491155	Vibrio parahaemolyticus	790	0	4	rbmD
GCA_000491175	Vibrio parahaemolyticus	591	0	4	
GCA_000491195	Vibrio parahaemolyticus	714	0	4	
GCA_000491215	Vibrio parahaemolyticus	557	0	4	
GCA_000491235	Vibrio parahaemolyticus	612	0	4	
GCA_000491255	Vibrio parahaemolyticus	981	0	0	
GCA_000491275	Vibrio parahaemolyticus	518	0	4	
GCA_000491295	Vibrio parahaemolyticus	756	0	4	rbmD
GCA_000491315	Vibrio parahaemolyticus	725	0	3	
GCA_000491335	Vibrio parahaemolyticus	735	0	4	
GCA_000491355	Vibrio parahaemolyticus	710	0	4	
GCA_000491375	Vibrio parahaemolyticus	517	0	4	
GCA_000491395	Vibrio parahaemolyticus	795	0	4	
GCA_000491415	Vibrio parahaemolyticus	840	0	4	
GCA_000491435	Vibrio parahaemolyticus	797	0	4	
GCA_000491455	Vibrio parahaemolyticus	498	0	4	
GCA_000491475	Vibrio parahaemolyticus	543	0	4	
GCA_000491495	Vibrio parahaemolyticus	460	0	4	
GCA_000491515	Vibrio parahaemolyticus	477	0	4	
GCA_000491535	Vibrio parahaemolyticus	767	0	0	
GCA_000491555	Vibrio parahaemolyticus	360	0	4	
GCA_000491575	Vibrio parahaemolyticus	483	0	4	
GCA_000491595	Vibrio parahaemolyticus	594	0	4	
GCA_000491615	Vibrio parahaemolyticus	443	0	4	
GCA_000491635	Vibrio parahaemolyticus	467	0	4	
GCA_000491655	Vibrio parahaemolyticus	439	0	4	
GCA_000491675	Vibrio parahaemolyticus	356	0	4	
GCA_000491695	Vibrio parahaemolyticus	422	0	4	
GCA_000491715	Vibrio parahaemolyticus	685	0	4	
GCA_000491735	Vibrio parahaemolyticus	444	0	4	
GCA_000491755	Vibrio parahaemolyticus	551	2	4	
GCA_000491775	Vibrio parahaemolyticus	421	2	4	
GCA_000491795	Vibrio parahaemolyticus	466	0	4	
GCA_000491815	Vibrio parahaemolyticus	729	0	4	
GCA_000491835	Vibrio parahaemolyticus	345	0	4	
GCA_000491855	Vibrio parahaemolyticus	595	0	4	
GCA_000491875	Vibrio parahaemolyticus	545	0	4	
GCA_000491895	Vibrio parahaemolyticus	545	0	4	
GCA_000491915	Vibrio parahaemolyticus	462	0	4	
GCA_000491935	Vibrio parahaemolyticus	533	0	4	
GCA_000491955	Vibrio parahaemolyticus	371	0	4	
GCA_000491975	Vibrio parahaemolyticus	509	0	4	
GCA_000491995	Vibrio parahaemolyticus	440	0	4	
GCA_000492015	Vibrio parahaemolyticus	416	0	4	
GCA_000492035	Vibrio parahaemolyticus	704	0	4	
GCA_000492055	Vibrio parahaemolyticus	465	0	4	
GCA_000492075	Vibrio parahaemolyticus	648	0	4	
GCA_000492095	Vibrio parahaemolyticus	496	0	4	
GCA_000493225	Vibrio parahaemolyticus	655	0	4	
GCA_000493315	Vibrio harveyi	84	0	4	
GCA_000493715	Vibrio parahaemolyticus	463	0	4	
GCA_000496695	Vibrio halioticoli	109	0	0	
GCA_000500105	Vibrio parahaemolyticus	52	0	4	
GCA_000500365	Vibrio parahaemolyticus	90	0	4	
GCA_000500385	Vibrio parahaemolyticus	908	0	0	rbmD
GCA_000500405	Vibrio parahaemolyticus	91	0	4	
GCA_000500425	Vibrio parahaemolyticus	75	0	4	
GCA_000500445	Vibrio parahaemolyticus	1009	0	4	
GCA_000500465	Vibrio parahaemolyticus	1156	0	0	
GCA_000500485	Vibrio parahaemolyticus	106	0	4	
GCA_000500505	Vibrio parahaemolyticus	86	0	4	
GCA_000500525	Vibrio parahaemolyticus	79	0	4	
GCA_000500545	Vibrio parahaemolyticus	113	0	4	
GCA_000500755	Vibrio parahaemolyticus	63	0	4	
GCA_000510585	Vibrio parahaemolyticus	72	0	4	
GCA_000510605	Vibrio parahaemolyticus	117	0	4	
GCA_000516875	Vibrio parahaemolyticus	80	0	4	
GCA_000519365	Vibrio parahaemolyticus	95	0	4	
GCA_000519385	Vibrio parahaemolyticus	82	0	4	
GCA_000519405	Vibrio parahaemolyticus	65	0	4	
GCA_000521825	Vibrio parahaemolyticus	97	0	4	
GCA_000522005	Vibrio parahaemolyticus	100	0	4	
GCA_000522025	Vibrio parahaemolyticus	102	0	4	
GCA_000522045	Vibrio parahaemolyticus	67	0	4	
GCA_000522065	Vibrio parahaemolyticus	110	0	4	
GCA_000523375	Vibrio parahaemolyticus	116	0	4	
GCA_000524535	Vibrio parahaemolyticus	93	0	4	
GCA_000525005	Vibrio parahaemolyticus	103	0	4	
GCA_000558885	Vibrio parahaemolyticus	101	0	4	
GCA_000558925	Vibrio parahaemolyticus	86	0	4	
GCA_000568495	Vibrio parahaemolyticus	3	0	4	
GCA_000571915	Vibrio parahaemolyticus	91	0	4	
GCA_000576265	Vibrio vulnificus	218	0	4	
GCA_000582905	Vibrio parahaemolyticus	92	0	4	
GCA_000591455	Vibrio parahaemolyticus	127	0	4	
GCA_000591475	Vibrio parahaemolyticus	96	0	4	
GCA_000591495	Vibrio parahaemolyticus	69	0	4	
GCA_000591515	Vibrio parahaemolyticus	70	0	4	
GCA_000591535	Vibrio alginolyticus	59	0	4	
GCA_000591555	Vibrio parahaemolyticus	64	0	4	
GCA_000593285	Vibrio parahaemolyticus	93	0	4	
GCA_000593305	Vibrio parahaemolyticus	109	0	4	
GCA_000593325	Vibrio parahaemolyticus	82	0	4	
GCA_000593345	Vibrio parahaemolyticus	75	0	3	rbmD
GCA_000593365	Vibrio parahaemolyticus	95	0	3	rbmD
GCA_000662375	Vibrio parahaemolyticus	137	0	3	
GCA_000695035	Vibrio alginolyticus	70	0	4	
GCA_000695055	Vibrio diabolicus	64	2	4	
GCA_000695685	Vibrio fortis_A	33	0	0	
GCA_000695725	Vibrio mediterranei	946	0	0	
GCA_000698165	Vibrio alginolyticus	106	0	2	rbmD
GCA_000699205	Vibrio owensii	37	0	3	
GCA_000701045	Vibrio parahaemolyticus	41	0	4	
GCA_000706825	Vibrio parahaemolyticus	33	0	4	
GCA_000706845	Vibrio parahaemolyticus	60	0	0	
GCA_000706865	Vibrio parahaemolyticus	51	0	4	
GCA_000706885	Vibrio parahaemolyticus	44	2	4	
GCA_000706905	Vibrio parahaemolyticus	558	0	4	rbmD
GCA_000706925	Vibrio parahaemolyticus	269	0	3	rbmD
GCA_000706945	Vibrio parahaemolyticus	87	0	4	
GCA_000706965	Vibrio parahaemolyticus	58	0	4	
GCA_000706985	Vibrio parahaemolyticus	42	0	4	
GCA_000707005	Vibrio parahaemolyticus	56	0	4	
GCA_000707025	Vibrio parahaemolyticus	184	0	3	rbmD
GCA_000707045	Vibrio parahaemolyticus	48	0	4	
GCA_000707065	Vibrio parahaemolyticus	45	0	4	
GCA_000707085	Vibrio parahaemolyticus	47	0	4	
GCA_000707105	Vibrio parahaemolyticus	48	0	4	
GCA_000707125	Vibrio parahaemolyticus	81	0	4	
GCA_000707145	Vibrio parahaemolyticus	212	0	3	
GCA_000707165	Vibrio parahaemolyticus	243	0	3	
GCA_000707185	Vibrio parahaemolyticus	45	0	3	
GCA_000707205	Vibrio parahaemolyticus	55	0	4	
GCA_000707225	Vibrio parahaemolyticus	84	0	4	
GCA_000707245	Vibrio parahaemolyticus	40	0	4	
GCA_000707265	Vibrio parahaemolyticus	47	0	4	
GCA_000707285	Vibrio parahaemolyticus	56	0	4	
GCA_000707305	Vibrio parahaemolyticus	77	0	4	
GCA_000707325	Vibrio parahaemolyticus	60	0	4	
GCA_000707345	Vibrio parahaemolyticus	245	0	3	rbmD
GCA_000707365	Vibrio parahaemolyticus	52	0	4	
GCA_000707385	Vibrio parahaemolyticus	65	2	4	
GCA_000707405	Vibrio parahaemolyticus	285	2	3	
GCA_000707425	Vibrio parahaemolyticus	55	2	4	
GCA_000707445	Vibrio parahaemolyticus	41	2	4	
GCA_000707465	Vibrio parahaemolyticus	47	2	4	
GCA_000707485	Vibrio parahaemolyticus	42	2	4	
GCA_000707505	Vibrio parahaemolyticus	65	2	4	
GCA_000707525	Vibrio parahaemolyticus	37	0	4	
GCA_000707545	Vibrio parahaemolyticus	38	0	4	
GCA_000707565	Vibrio parahaemolyticus	50	0	4	
GCA_000707585	Vibrio parahaemolyticus	74	0	4	
GCA_000707605	Vibrio parahaemolyticus	71	0	4	
GCA_000707625	Vibrio parahaemolyticus	44	0	4	
GCA_000707645	Vibrio parahaemolyticus	35	0	4	
GCA_000707665	Vibrio parahaemolyticus	34	0	4	
GCA_000707685	Vibrio parahaemolyticus	64	0	4	
GCA_000707705	Vibrio parahaemolyticus	50	0	4	
GCA_000707725	Vibrio parahaemolyticus	95	0	4	
GCA_000707745	Vibrio parahaemolyticus	55	0	4	
GCA_000707765	Vibrio parahaemolyticus	65	0	4	
GCA_000707785	Vibrio parahaemolyticus	37	0	4	
GCA_000707805	Vibrio parahaemolyticus	49	0	4	
GCA_000707825	Vibrio parahaemolyticus	46	0	4	
GCA_000707845	Vibrio parahaemolyticus	283	0	4	rbmD
GCA_000707865	Vibrio parahaemolyticus	52	0	4	
GCA_000707885	Vibrio parahaemolyticus	60	0	4	
GCA_000707905	Vibrio parahaemolyticus	36	0	4	
GCA_000711805	Vibrio rhizosphaerae	47	1	3	rbmD
GCA_000723485	Vibrio nigripulchritudo	2	1	4	
GCA_000723605	Vibrio nigripulchritudo	2	1	4	
GCA_000723765	Vibrio nigripulchritudo	2	3	4	
GCA_000723805	Vibrio nigripulchritudo	2	1	4	
GCA_000732245	Vibrio parahaemolyticus	213	3	4	
GCA_000732985	Vibrio parahaemolyticus	79	0	4	
GCA_000732995	Vibrio parahaemolyticus	14	0	4	
GCA_000733315	Vibrio mediterranei	108	0	0	
GCA_000736315	Vibrio parahaemolyticus	82	0	4	
GCA_000736325	Vibrio parahaemolyticus	144	0	4	
GCA_000736335	Vibrio parahaemolyticus	100	0	4	
GCA_000736345	Vibrio parahaemolyticus	97	0	4	
GCA_000737635	Vibrio parahaemolyticus	290	0	4	
GCA_000740015	Vibrio diazotrophicus	57	0	4	
GCA_000742455	Vibrio alginolyticus	45	0	4	
GCA_000743095	Vibrio vulnificus	455	2	4	
GCA_000743105	Vibrio vulnificus	388	2	4	
GCA_000743115	Vibrio vulnificus	542	2	4	
GCA_000743155	Vibrio vulnificus	367	0	4	
GCA_000743165	Vibrio vulnificus	412	2	4	
GCA_000746665	Vibrio vulnificus	3	2	4	
GCA_000754645	Vibrio fluvialis	152	0	4	
GCA_000755385	Vibrio maritimus_B	40	1	4	
GCA_000755405	Vibrio maritimus_B	208	0	3	
GCA_000760625	Vibrio fluvialis	84	2	4	
GCA_000764325	Vibrio navarrensis	2	0	0	rbmEF
GCA_000764335	Vibrio navarrensis	236	0	0	
GCA_000764345	Vibrio navarrensis	119	0	0	
GCA_000764355	Vibrio navarrensis	176	0	0	
GCA_000764895	Vibrio vulnificus	281	0	4	
GCA_000770115	Vibrio harveyi	2	0	4	
GCA_000772655	Vibrio campbellii	60	4	4	rbmD
GCA_000786835	Vibrio parahaemolyticus	166	0	4	
GCA_000786845	Vibrio parahaemolyticus	202	0	4	
GCA_000786855	Vibrio parahaemolyticus	79	0	4	
GCA_000786865	Vibrio parahaemolyticus	688	0	4	
GCA_000788315	Vibrio vulnificus	143	0	4	
GCA_000788325	Vibrio vulnificus	136	0	4	
GCA_000788335	Vibrio vulnificus	144	2	4	
GCA_000788345	Vibrio vulnificus	126	2	4	
GCA_000799015	Vibrio fluvialis	104	2	4	
GCA_000801275	Vibrio nigripulchritudo	2	1	4	
GCA_000813305	Vibrio parahaemolyticus	39	0	4	
GCA_000817815	Vibrio owensii	119	0	4	
GCA_000817825	Vibrio owensii	55	0	4	
GCA_000818235	Vibrio campbellii	209	0	4	
GCA_000818255	Vibrio owensii	233	0	4	
GCA_000818275	Vibrio owensii	198	0	4	
GCA_000818295	Vibrio campbellii	219	0	4	
GCA_000818315	Vibrio campbellii	241	0	4	
GCA_000818335	Vibrio campbellii	251	0	4	
GCA_000818355	Vibrio campbellii	182	3	4	
GCA_000818375	Vibrio harveyi	337	0	4	
GCA_000818415	Vibrio rotiferianus	964	0	4	
GCA_000818435	Vibrio hyugaensis	71	0	4	
GCA_000818455	Vibrio hyugaensis	81	0	4	
GCA_000818475	Vibrio hyugaensis	214	0	4	
GCA_000818715	Vibrio jasicida	79	0	4	
GCA_000827875	Vibrio renipiscarius	44	0	3	rbmD,rbmEF
GCA_000827885	Vibrio renipiscarius	30	0	3	rbmD,rbmEF
GCA_000829615	Vibrio jasicida	115	0	4	
GCA_000829635	Vibrio owensii	133	0	4	
GCA_000829735	Vibrio owensii	51	0	4	rbmD
GCA_000830415	Vibrio ishigakensis	260	0	0	
GCA_000830435	Vibrio ishigakensis	56	0	0	
GCA_000830455	Vibrio ishigakensis	84	0	0	
GCA_000830475	Vibrio ishigakensis	33	2	2	
GCA_000834075	Vibrio jasicida	112	0	4	
GCA_000834085	Vibrio alginolyticus	114	0	4	
GCA_000834095	Vibrio jasicida	132	0	4	
GCA_000834155	Vibrio alginolyticus	105	0	4	
GCA_000877405	Vibrio parahaemolyticus	115	0	4	
GCA_000877415	Vibrio parahaemolyticus	58	0	4	
GCA_000877425	Vibrio parahaemolyticus	61	0	4	
GCA_000877475	Vibrio parahaemolyticus	59	0	4	
GCA_000877485	Vibrio parahaemolyticus	58	0	4	
GCA_000877495	Vibrio parahaemolyticus	88	0	4	
GCA_000877535	Vibrio parahaemolyticus	110	0	4	
GCA_000877555	Vibrio parahaemolyticus	54	0	4	
GCA_000877565	Vibrio parahaemolyticus	61	0	4	
GCA_000877595	Vibrio parahaemolyticus	290	0	4	
GCA_000877605	Vibrio parahaemolyticus	351	0	4	
GCA_000877615	Vibrio parahaemolyticus	41	0	4	
GCA_000877625	Vibrio parahaemolyticus	363	0	4	
GCA_000877675	Vibrio parahaemolyticus	403	0	4	
GCA_000877685	Vibrio parahaemolyticus	49	0	4	
GCA_000877715	Vibrio parahaemolyticus	425	0	4	
GCA_000877725	Vibrio parahaemolyticus	378	0	4	
GCA_000877755	Vibrio parahaemolyticus	411	0	4	
GCA_000877765	Vibrio parahaemolyticus	70	0	4	
GCA_000878565	Vibrio parahaemolyticus	77	0	4	
GCA_000878575	Vibrio parahaemolyticus	53	0	4	
GCA_000878585	Vibrio parahaemolyticus	58	0	4	
GCA_000878595	Vibrio parahaemolyticus	59	0	4	
GCA_000878645	Vibrio parahaemolyticus	62	0	4	
GCA_000878665	Vibrio parahaemolyticus	85	0	4	
GCA_000878675	Vibrio parahaemolyticus	117	0	4	
GCA_000878705	Vibrio parahaemolyticus	76	0	4	
GCA_000878725	Vibrio parahaemolyticus	72	0	4	
