qname	tname	num_alns	pid	qcov	tcov
GCA_000152445.1_22_543016-617581	GCA_001857455.1_76_273806-296975	1	98.08	22.52	72.45
GCA_000152445.1_22_543016-617581	GCA_000279285.1_27_561148-659761	9	97.35	63.02	47.77
GCA_000152445.1_22_543016-617581	GCA_002284235.1_83_368-75275	5	97.94	37.24	36.93
GCA_000152445.1_22_543016-617581	GCA_014654545.1_66_155337-232614	8	97.78	69.86	67.54
GCA_000152445.1_22_543016-617581	GCA_008083965.1_17_247490-352138	7	97.3	61.92	44.1
GCA_000152445.1_22_543016-617581	GCA_006802485.1_133_701-58153	5	97.92	40.07	52.0
GCA_000152445.1_22_543016-617581	GCA_008083955.1_7_16201-70846	3	97.67	26.14	35.65
GCA_000152445.1_22_543016-617581	GCA_001857305.1_87_57710-122574	5	97.76	37.46	42.9
GCA_000152445.1_22_543016-617581	GCA_008083255.1_9_1520-83773	5	97.68	37.33	33.7
GCA_000152445.1_22_543016-617581	GCA_006802655.1_146_48499-85697	5	97.96	42.75	86.58
GCA_000152445.1_22_543016-617581	GCA_017426985.1_67_149609-215499	7	97.5	56.95	64.72
GCA_000152445.1_22_543016-617581	GCA_008085575.1_33_1-58089	6	97.69	39.86	50.97
GCA_000152445.1_22_543016-617581	GCA_000168935.3_2_609838-686526	10	97.67	70.77	69.1
GCA_000152445.1_22_543016-617581	GCA_008085625.1_37_28233-92903	5	97.93	38.98	45.1
GCA_000152445.1_22_543016-617581	GCA_006802595.1_90_50942-110938	6	97.48	53.26	66.73
GCA_000152445.1_22_543016-617581	GCA_006802365.1_179_433-17757	1	98.28	22.33	96.09
GCA_000152445.1_22_543016-617581	GCA_000279265.1_3_430487-493623	5	97.54	37.26	43.84
GCA_000152445.1_22_543016-617581	GCA_001515115.1_2_43814-162281	10	97.5	65.88	42.04
GCA_000152445.1_22_543016-617581	GCA_000788675.1_30_3-53246	11	97.28	45.27	63.15
GCA_000152445.1_22_543016-617581	GCA_003056995.1_2_137927-242490	7	97.79	68.69	48.87
GCA_000152445.1_22_543016-617581	GCA_001402675.1_4_217771-307261	11	96.74	61.9	52.22
GCA_000152445.1_22_543016-617581	GCA_008083415.1_14_340300-393490	3	98.04	36.19	50.68
GCA_000152445.1_22_543016-617581	GCA_006802605.1_6_43-26345	4	98.1	26.64	76.7
GCA_000152445.1_22_543016-617581	GCA_003057035.1_1_263738-394363	10	97.48	65.88	38.13
GCA_000152445.1_22_543016-617581	GCA_017426965.1_65_102-245094	9	97.73	72.24	22.99
GCA_000152445.1_22_543016-617581	GCA_008369605.1_2_349652-406555	4	97.53	38.98	50.89
GCA_000152445.1_22_543016-617581	GCA_019793275.1_19_283586-346134	6	97.32	41.2	48.93
GCA_000152445.1_22_543016-617581	GCA_000518145.1_12_3-61424	7	98.03	35.86	44.02
GCA_000152445.1_22_543016-617581	GCA_001402155.1_2_258-83882	9	97.38	54.96	49.12
GCA_000152445.1_22_543016-617581	GCA_021228575.1_3_94666-156569	5	97.55	37.15	44.56
GCA_000152445.1_22_543016-617581	GCA_000176215.1_3_368381-428089	5	97.83	44.16	55.18
GCA_000152445.1_22_543016-617581	GCA_001515165.1_1_62-76095	5	97.48	36.22	35.54
GCA_000152445.1_22_543016-617581	GCA_017426905.1_21_499-19971	2	97.82	22.61	86.56
GCA_000152445.1_22_543016-617581	GCA_008084655.1_22_573669-672062	8	97.49	68.89	52.29
GCA_000152445.1_22_543016-617581	GCA_006803125.1_140_217-42928	3	97.59	45.08	78.69
GCA_000152445.1_22_543016-617581	GCA_003311895.1_83_3-23299	1	97.77	22.53	72.08
GCA_000152445.1_22_543016-617581	GCA_008083365.1_32_12090-121529	8	97.66	60.49	41.48
GCA_000152445.1_22_543016-617581	GCA_000302965.1_59_257217-301829	4	97.8	40.31	67.36
GCA_000152445.1_22_543016-617581	GCA_003311885.1_17_97576-166595	8	96.34	59.24	64.31
GCA_000152445.1_22_543016-617581	GCA_003348985.1_4_25519-95008	5	97.58	42.48	45.59
GCA_000152445.1_22_543016-617581	GCA_001857345.1_161_55913-123302	4	97.77	34.61	38.28
GCA_000152445.1_22_543016-617581	GCA_019458465.1_2_660687-727625	5	97.34	37.23	41.3
GCA_000152445.1_22_543016-617581	GCA_003347755.1_3_262447-335054	8	97.48	62.52	64.36
GCA_000152445.1_22_543016-617581	GCA_006802155.1_89_148-87733	6	97.32	37.77	32.06
GCA_000152445.1_22_543016-617581	GCA_008084835.1_42_175137-219223	3	97.25	38.72	65.23
GCA_000152445.1_22_543016-617581	GCA_006802495.1_160_470862-510741	3	97.43	36.11	67.23
GCA_000152445.1_22_543016-617581	GCA_002216685.1_2_711848-810357	8	96.35	59.24	45.05
GCA_000152445.1_22_543016-617581	GCA_001292785.1_131_54-22796	1	97.92	22.33	73.22
GCA_000152445.1_22_543016-617581	GCA_006802685.1_549_1-21523	1	97.61	22.54	78.09
GCA_000152445.1_22_543016-617581	GCA_015343015.1_113_82762-137762	5	97.46	34.68	46.78
GCA_000152445.1_22_543016-617581	GCA_000174115.1_4_690852-779483	10	97.4	67.64	57.71
GCA_000152445.1_22_543016-617581	GCA_008085535.1_18_239923-306318	6	97.68	46.62	52.35
GCA_000152445.1_22_543016-617581	GCA_001743085.1_93_56874-131989	4	97.9	38.77	38.35
GCA_000152445.1_22_543016-617581	GCA_000969265.1_1_296392-371313	6	97.49	54.52	58.2
GCA_000152445.1_22_543016-617581	GCA_003347715.1_44_507646-603903	9	97.37	65.36	50.73
GCA_000152445.1_22_543016-617581	GCA_013111295.1_17_211-56910	6	97.27	52.63	69.19
GCA_000152445.1_22_543016-617581	GCA_006802935.1_159_327-40946	2	97.19	39.26	72.09
GCA_000152445.1_22_543016-617581	GCA_008083465.1_12_79396-148138	4	97.39	42.46	46.06
GCA_000152445.1_22_543016-617581	GCA_024746925.1_93_377-24097	1	97.9	22.2	69.75
GCA_000152445.1_22_543016-617581	GCA_001402365.1_21_327394-350139	2	97.69	22.44	73.54
GCA_000152445.1_22_543016-617581	GCA_001558475.2_1_32034-96768	3	97.37	36.19	41.69
GCA_000152445.1_22_543016-617581	GCA_018310255.1_2_258032-338615	10	97.44	64.43	59.75
GCA_000152445.1_22_543016-617581	GCA_008083745.1_43_141674-221498	7	96.11	46.47	43.45
GCA_000152445.1_22_543016-617581	GCA_000338875.1_34_202-75385	8	96.26	51.82	51.25
GCA_000152445.1_22_543016-617581	GCA_000473825.1_172_125-37707	4	95.77	43.73	86.73
GCA_000152445.1_22_543016-617581	GCA_000473785.1_173_120-37698	4	95.76	43.73	86.73
GCA_000152445.1_22_543016-617581	GCA_003312035.1_14_32595-95281	4	97.47	36.29	43.15
GCA_000152445.1_22_543016-617581	GCA_003311755.1_88_240-30486	4	97.35	34.34	84.62
GCA_000152445.1_22_543016-617581	GCA_003311865.1_56_2-23938	2	97.75	22.47	69.95
GCA_000152445.1_22_543016-617581	GCA_001989755.2_47_8-41334	3	94.83	39.93	72.05
GCA_000152445.1_22_543016-617581	GCA_001990085.2_61_8-43102	3	94.82	39.93	69.1
GCA_000152445.1_22_543016-617581	GCA_002241275.1_79_669-19688	1	94.22	22.59	88.56
GCA_000152445.1_22_543016-617581	GCA_024748415.1_32_229720-309677	5	93.76	56.14	52.23
GCA_000152445.1_22_543016-617581	GCA_021166915.1_111_49308-92757	7	98.2	34.8	60.39
GCA_000152445.1_22_543016-617581	GCA_006802075.1_84_257554-307626	9	97.51	52.58	78.87
GCA_000152445.1_22_543016-617581	GCA_021166995.1_223_56027-100933	8	97.26	45.67	76.49
GCA_000152445.1_22_543016-617581	GCA_014281135.1_13_457-15519	2	98.49	20.21	100.0
GCA_000152445.1_22_543016-617581	GCA_016456855.1_328_20640-114820	6	97.57	67.52	53.69
GCA_000152445.1_22_543016-617581	GCA_003716505.1_2_479340-595857	8	97.68	68.46	44.23
GCA_000152445.1_22_543016-617581	GCA_008084795.1_2_160-84330	10	97.4	69.8	62.12
GCA_000152445.1_22_543016-617581	GCA_000176455.1_24_1-38265	3	97.38	19.85	38.61
GCA_000152445.1_22_543016-617581	GCA_008085635.1_11_218669-290472	7	97.44	36.42	38.27
GCA_000152445.1_22_543016-617581	GCA_003312005.1_146_108-43010	3	97.13	37.76	65.68
GCA_000152445.1_22_543016-617581	GCA_017427005.1_45_239380-294381	10	97.76	53.87	72.92
GCA_000152445.1_22_543016-617581	GCA_002284205.1_9_165-37332	5	97.6	34.28	68.74
GCA_000152445.1_22_543016-617581	GCA_003716425.1_2_1141978-1163292	2	98.02	19.99	69.93
GCA_000152445.1_22_543016-617581	GCA_002284425.1_70_1-31123	2	97.58	28.13	67.37
GCA_000152445.1_22_543016-617581	GCA_003349315.1_1_1-20028	3	97.95	23.52	87.52
GCA_000152445.1_22_543016-617581	GCA_019504425.1_2_377785-479613	10	96.22	60.57	44.5
GCA_000152445.1_22_543016-617581	GCA_003347725.1_87_2-48665	4	97.98	36.13	55.38
GCA_000152445.1_22_543016-617581	GCA_008083355.1_69_1-10770	1	97.98	13.46	93.04
GCA_000152445.1_22_543016-617581	GCA_013414365.1_85_57226-136396	7	97.51	35.6	33.39
GCA_000152445.1_22_543016-617581	GCA_003349725.1_379_1-9553	1	97.61	12.82	100.0
GCA_000168935.3_2_609838-686526	GCA_006802485.1_133_701-58153	5	98.13	44.49	58.95
GCA_000168935.3_2_609838-686526	GCA_000302965.1_59_257217-301829	3	98.16	44.14	75.17
GCA_000168935.3_2_609838-686526	GCA_001402425.1_8_259547-342567	6	98.01	85.78	78.97
GCA_000168935.3_2_609838-686526	GCA_006802395.1_184_1-36213	4	97.85	42.62	89.37
GCA_000168935.3_2_609838-686526	GCA_002114205.1_2_53539-106543	5	97.86	42.79	61.41
GCA_000168935.3_2_609838-686526	GCA_008083465.1_12_79396-148138	5	97.28	42.95	47.54
GCA_000168935.3_2_609838-686526	GCA_003057035.1_1_263738-394363	7	97.86	82.74	48.86
GCA_000168935.3_2_609838-686526	GCA_001515115.1_2_43814-162281	7	97.92	82.74	53.89
GCA_000168935.3_2_609838-686526	GCA_008083965.1_17_247490-352138	8	97.69	64.22	46.8
GCA_000168935.3_2_609838-686526	GCA_013357885.1_2_844226-931927	6	97.92	66.32	57.7
GCA_000168935.3_2_609838-686526	GCA_006803125.1_140_217-42928	2	98.26	55.27	99.23
GCA_000168935.3_2_609838-686526	GCA_000969265.1_1_296392-371313	7	97.94	65.34	70.4
GCA_000168935.3_2_609838-686526	GCA_008085535.1_18_239923-306318	7	97.6	48.94	56.15
GCA_000168935.3_2_609838-686526	GCA_008083455.1_7_392948-468056	6	98.32	39.61	40.06
GCA_000168935.3_2_609838-686526	GCA_000174115.1_4_690852-779483	10	97.57	78.25	68.24
GCA_000168935.3_2_609838-686526	GCA_003348735.1_7_18492-90684	5	98.05	39.52	41.62
GCA_000168935.3_2_609838-686526	GCA_024745065.1_41_90-62542	7	97.91	62.54	76.28
GCA_000168935.3_2_609838-686526	GCA_008084025.1_50_391-65479	6	97.75	39.61	46.23
GCA_000168935.3_2_609838-686526	GCA_013111295.1_17_211-56910	5	97.74	51.7	69.9
GCA_000168935.3_2_609838-686526	GCA_008085575.1_33_1-58089	5	98.13	41.69	54.49
GCA_000168935.3_2_609838-686526	GCA_017426915.1_37_353014-415942	5	97.38	37.55	45.26
GCA_000168935.3_2_609838-686526	GCA_008083365.1_32_12090-121529	11	97.74	60.85	42.7
GCA_000168935.3_2_609838-686526	GCA_008083255.1_9_1520-83773	5	97.72	39.04	35.89
GCA_000168935.3_2_609838-686526	GCA_006802685.1_549_1-21523	1	97.42	24.96	88.92
GCA_000168935.3_2_609838-686526	GCA_008083745.1_43_141674-221498	6	96.16	45.19	43.07
GCA_000168935.3_2_609838-686526	GCA_000338875.1_34_202-75385	8	96.23	47.73	48.55
GCA_000168935.3_2_609838-686526	GCA_000473825.1_172_125-37707	4	95.85	42.24	86.16
GCA_000168935.3_2_609838-686526	GCA_000473785.1_173_120-37698	4	95.84	42.24	86.16
GCA_000168935.3_2_609838-686526	GCA_018310255.1_2_258032-338615	9	97.76	71.49	67.92
GCA_000168935.3_2_609838-686526	GCA_003347715.1_44_507646-603903	8	97.73	72.49	57.64
GCA_000168935.3_2_609838-686526	GCA_000279285.1_27_561148-659761	7	98.02	74.26	57.69
GCA_000168935.3_2_609838-686526	GCA_001857455.1_76_273806-296975	1	97.93	23.32	77.24
GCA_000168935.3_2_609838-686526	GCA_001718105.1_13_3-65679	5	98.19	41.49	48.05
GCA_000168935.3_2_609838-686526	GCA_006803115.1_114_2-22835	1	98.29	22.18	74.49
GCA_000168935.3_2_609838-686526	GCA_006802575.1_169_256-36109	5	98.08	44.02	94.38
GCA_000168935.3_2_609838-686526	GCA_008083955.1_7_16201-70846	2	98.4	21.95	30.79
GCA_000168935.3_2_609838-686526	GCA_003312085.1_8_187662-228243	5	97.78	39.08	73.35
GCA_000168935.3_2_609838-686526	GCA_005636045.1_14_2-48329	3	97.78	38.1	60.45
GCA_000168935.3_2_609838-686526	GCA_003348545.1_34_456-30917	2	98.27	24.29	61.12
GCA_000168935.3_2_609838-686526	GCA_001515165.1_1_62-76095	6	97.81	40.54	40.49
GCA_000168935.3_2_609838-686526	GCA_006802865.1_86_58365-112165	10	97.59	43.89	62.56
GCA_000168935.3_2_609838-686526	GCA_008084455.1_31_215426-283013	5	97.64	34.18	38.4
GCA_000168935.3_2_609838-686526	GCA_006803135.1_89_435-42498	6	97.7	45.51	83.46
GCA_000168935.3_2_609838-686526	GCA_006803025.1_186_494-68331	7	97.87	42.96	48.57
GCA_000168935.3_2_609838-686526	GCA_006803005.1_10_112-28147	7	97.9	27.45	75.12
GCA_000168935.3_2_609838-686526	GCA_006802345.1_73_44-49794	8	97.73	54.14	83.41
GCA_000168935.3_2_609838-686526	GCA_008083535.1_10_145896-212356	6	97.53	41.1	47.11
GCA_000168935.3_2_609838-686526	GCA_013111195.1_37_3-42974	4	97.31	38.65	68.97
GCA_000168935.3_2_609838-686526	GCA_003348095.1_58_51708-123894	6	97.97	38.95	41.47
GCA_000168935.3_2_609838-686526	GCA_006802555.1_62_3-49700	9	97.42	41.22	63.55
GCA_000168935.3_2_609838-686526	GCA_008084855.1_11_466-72979	4	98.08	35.73	37.45
GCA_000168935.3_2_609838-686526	GCA_006802655.1_146_48499-85697	6	97.7	42.62	87.85
GCA_000168935.3_2_609838-686526	GCA_000279265.1_3_430487-493623	4	98.07	35.73	43.01
GCA_000168935.3_2_609838-686526	GCA_008084825.1_48_274300-312356	3	97.99	35.58	70.87
GCA_000168935.3_2_609838-686526	GCA_006802475.1_26_3-21669	3	98.03	23.17	83.48
GCA_000168935.3_2_609838-686526	GCA_002284235.1_83_368-75275	4	97.55	35.94	36.37
GCA_000168935.3_2_609838-686526	GCA_006802915.1_4_1-20316	3	98.06	22.42	86.14
GCA_000168935.3_2_609838-686526	GCA_006802275.1_45_165-20970	1	98.06	21.89	80.67
GCA_000168935.3_2_609838-686526	GCA_001857155.1_154_368-57764	5	97.95	34.15	45.18
GCA_000168935.3_2_609838-686526	GCA_002890525.1_20_188736-246971	6	97.67	39.53	51.63
GCA_000168935.3_2_609838-686526	GCA_021228575.1_3_94666-156569	4	97.94	35.8	43.83
GCA_000168935.3_2_609838-686526	GCA_000152445.1_22_543016-617581	10	97.67	69.1	70.77
GCA_000168935.3_2_609838-686526	GCA_017426965.1_65_102-245094	14	97.55	64.12	21.0
GCA_000168935.3_2_609838-686526	GCA_017426785.1_13_229-59908	11	97.41	41.91	53.75
GCA_000168935.3_2_609838-686526	GCA_008083415.1_14_340300-393490	5	97.54	33.98	48.46
GCA_000168935.3_2_609838-686526	GCA_006803105.1_92_74918-117126	7	97.64	45.96	83.91
GCA_000168935.3_2_609838-686526	GCA_019793275.1_19_283586-346134	4	97.78	35.91	43.53
GCA_000168935.3_2_609838-686526	GCA_013111105.1_61_176-24543	3	97.93	25.02	80.02
GCA_000168935.3_2_609838-686526	GCA_006802595.1_90_50942-110938	8	97.39	53.21	68.02
GCA_000168935.3_2_609838-686526	GCA_003347755.1_3_262447-335054	8	97.75	63.37	66.84
GCA_000168935.3_2_609838-686526	GCA_000788675.1_30_3-53246	12	97.61	41.55	59.31
GCA_000168935.3_2_609838-686526	GCA_003348985.1_4_25519-95008	5	97.93	41.07	44.97
GCA_000168935.3_2_609838-686526	GCA_014654545.1_66_155337-232614	12	97.47	65.64	65.14
GCA_000168935.3_2_609838-686526	GCA_006802255.1_97_240-42376	6	97.84	45.86	83.95
GCA_000168935.3_2_609838-686526	GCA_006802165.1_102_918-55522	9	97.74	52.71	74.39
GCA_000168935.3_2_609838-686526	GCA_902810005.1_5_147023-196736	6	97.58	42.45	64.82
GCA_000168935.3_2_609838-686526	GCA_003349265.1_79_1-37777	3	97.56	38.01	77.16
GCA_000168935.3_2_609838-686526	GCA_013110975.1_11_34-69935	7	97.58	51.65	56.59
GCA_000168935.3_2_609838-686526	GCA_019458465.1_2_660687-727625	4	97.74	35.9	40.65
GCA_000168935.3_2_609838-686526	GCA_006802295.1_26_349-27343	4	98.12	29.43	84.26
GCA_000168935.3_2_609838-686526	GCA_001402685.1_78_2228-104566	8	97.14	51.18	38.25
GCA_000168935.3_2_609838-686526	GCA_001857305.1_87_57710-122574	4	97.52	35.76	41.9
GCA_000168935.3_2_609838-686526	GCA_008084655.1_22_573669-672062	9	97.79	64.91	50.59
GCA_000168935.3_2_609838-686526	GCA_003311885.1_17_97576-166595	10	96.71	58.97	65.51
GCA_000168935.3_2_609838-686526	GCA_000176215.1_3_368381-428089	8	97.59	39.71	50.49
GCA_000168935.3_2_609838-686526	GCA_008083975.1_34_193103-213681	1	98.1	21.72	80.91
GCA_000168935.3_2_609838-686526	GCA_000176715.1_9_60706-133991	6	97.63	39.59	41.08
GCA_000168935.3_2_609838-686526	GCA_017426985.1_67_149609-215499	7	97.26	50.34	58.24
GCA_000168935.3_2_609838-686526	GCA_003056995.1_2_137927-242490	8	97.78	64.9	47.35
GCA_000168935.3_2_609838-686526	GCA_002216685.1_2_711848-810357	10	96.68	59.06	45.89
GCA_000168935.3_2_609838-686526	GCA_006802495.1_160_470862-510741	5	97.39	34.0	64.31
GCA_000168935.3_2_609838-686526	GCA_008085625.1_37_28233-92903	5	97.52	33.98	39.9
GCA_000168935.3_2_609838-686526	GCA_002284395.1_23_3-59781	6	97.83	51.9	66.57
GCA_000168935.3_2_609838-686526	GCA_001743085.1_93_56874-131989	5	97.62	33.96	34.35
GCA_000168935.3_2_609838-686526	GCA_006802605.1_6_43-26345	4	97.89	29.43	86.54
GCA_000168935.3_2_609838-686526	GCA_000174235.1_4_679590-760459	18	97.8	67.17	67.5
GCA_000168935.3_2_609838-686526	GCA_001402155.1_2_258-83882	8	97.1	51.77	47.49
GCA_000168935.3_2_609838-686526	GCA_000518145.1_12_3-61424	7	98.03	38.18	47.74
GCA_000168935.3_2_609838-686526	GCA_001857345.1_161_55913-123302	4	97.31	35.75	40.29
GCA_000168935.3_2_609838-686526	GCA_008084835.1_42_175137-219223	4	97.32	33.68	58.05
GCA_000168935.3_2_609838-686526	GCA_002097735.1_119_163-20636	1	98.0	21.72	81.32
GCA_000168935.3_2_609838-686526	GCA_015343015.1_113_82762-137762	5	97.83	35.83	49.26
GCA_000168935.3_2_609838-686526	GCA_001402675.1_4_217771-307261	12	96.76	58.74	50.41
GCA_000168935.3_2_609838-686526	GCA_017426905.1_21_499-19971	1	97.72	21.89	86.15
GCA_000168935.3_2_609838-686526	GCA_006803015.1_171_174-18850	1	97.96	21.72	89.15
GCA_000168935.3_2_609838-686526	GCA_001292785.1_131_54-22796	1	97.96	21.72	73.21
GCA_000168935.3_2_609838-686526	GCA_003311895.1_83_3-23299	1	97.71	21.88	71.99
GCA_000168935.3_2_609838-686526	GCA_006802155.1_89_148-87733	5	97.74	38.73	33.65
GCA_000168935.3_2_609838-686526	GCA_008369605.1_2_349652-406555	5	97.35	34.32	45.68
GCA_000168935.3_2_609838-686526	GCA_006802365.1_179_433-17757	1	97.81	21.72	96.09
GCA_000168935.3_2_609838-686526	GCA_006802935.1_159_327-40946	3	97.45	37.76	71.29
GCA_000168935.3_2_609838-686526	GCA_024746925.1_93_377-24097	1	97.98	21.59	69.75
GCA_000168935.3_2_609838-686526	GCA_001558475.2_1_32034-96768	5	97.21	34.32	40.15
GCA_000168935.3_2_609838-686526	GCA_001402365.1_21_327394-350139	1	97.74	21.72	73.19
GCA_000168935.3_2_609838-686526	GCA_003311865.1_56_2-23938	2	97.79	21.83	69.86
GCA_000168935.3_2_609838-686526	GCA_003311755.1_88_240-30486	4	97.31	35.46	89.02
GCA_000168935.3_2_609838-686526	GCA_003312035.1_14_32595-95281	6	97.2	34.38	41.53
GCA_000168935.3_2_609838-686526	GCA_002241275.1_79_669-19688	1	94.05	21.96	88.55
GCA_000168935.3_2_609838-686526	GCA_001989755.2_47_8-41334	4	94.95	38.39	71.22
GCA_000168935.3_2_609838-686526	GCA_001990085.2_61_8-43102	4	94.94	38.39	68.3
GCA_000168935.3_2_609838-686526	GCA_019504425.1_2_377785-479613	11	96.18	60.61	45.57
GCA_000168935.3_2_609838-686526	GCA_021166915.1_111_49308-92757	8	98.12	36.49	64.33
GCA_000168935.3_2_609838-686526	GCA_024748415.1_32_229720-309677	7	93.94	50.24	47.88
GCA_000168935.3_2_609838-686526	GCA_006802075.1_84_257554-307626	10	97.65	47.02	72.36
GCA_000168935.3_2_609838-686526	GCA_021166995.1_223_56027-100933	8	97.58	43.56	74.77
GCA_000168935.3_2_609838-686526	GCA_000176455.1_24_1-38265	2	97.62	17.86	35.72
GCA_000168935.3_2_609838-686526	GCA_008085635.1_11_218669-290472	8	97.68	37.29	39.94
GCA_000168935.3_2_609838-686526	GCA_003716505.1_2_479340-595857	13	97.69	65.87	43.55
GCA_000168935.3_2_609838-686526	GCA_014281135.1_13_457-15519	1	98.35	15.9	80.93
GCA_000168935.3_2_609838-686526	GCA_003312005.1_146_108-43010	4	97.31	36.29	64.9
GCA_000168935.3_2_609838-686526	GCA_003716425.1_2_1141978-1163292	2	97.87	19.44	69.92
GCA_000168935.3_2_609838-686526	GCA_017427005.1_45_239380-294381	10	97.64	47.8	66.13
GCA_000168935.3_2_609838-686526	GCA_008084795.1_2_160-84330	11	98.05	73.03	66.59
GCA_000168935.3_2_609838-686526	GCA_016456855.1_328_20640-114820	12	97.66	66.93	54.49
GCA_000168935.3_2_609838-686526	GCA_008083355.1_69_1-10770	1	98.41	13.08	93.04
GCA_000168935.3_2_609838-686526	GCA_013414365.1_85_57226-136396	6	97.32	34.38	32.99
GCA_000168935.3_2_609838-686526	GCA_002284425.1_70_1-31123	3	97.86	26.88	66.22
GCA_000168935.3_2_609838-686526	GCA_003347725.1_87_2-48665	6	97.53	33.93	52.95
GCA_000168935.3_2_609838-686526	GCA_003349725.1_379_1-9553	1	98.0	12.46	100.0
GCA_000168935.3_2_609838-686526	GCA_003349315.1_1_1-20028	3	97.45	18.47	70.75
